Date,Open,High,Low,Close,Adj Close,Volume
2015-07-06,44.049999,45.000000,43.610001,44.290001,44.290001,776600
2015-07-07,44.240002,44.389999,42.490002,44.349998,44.349998,1178300
2015-07-08,43.980000,44.119999,42.560001,42.919998,42.919998,785800
2015-07-09,43.880001,44.369999,42.540001,42.759998,42.759998,754600
2015-07-10,43.490002,44.720001,43.330002,44.349998,44.349998,929800
2015-07-13,44.799999,46.220001,44.459999,46.040001,46.040001,1450700
2015-07-14,46.000000,46.700001,45.380001,46.209999,46.209999,1012300
2015-07-15,46.240002,46.419998,45.060001,45.320000,45.320000,699900
2015-07-16,45.500000,46.730000,45.500000,46.450001,46.450001,865900
2015-07-17,46.500000,46.730000,45.830002,46.369999,46.369999,771200
2015-07-20,46.389999,46.770000,46.049999,46.290001,46.290001,446200
2015-07-21,46.080002,47.299999,45.939999,46.740002,46.740002,686600
2015-07-22,46.549999,46.939999,45.930000,46.070000,46.070000,580200
2015-07-23,46.020000,46.180000,44.060001,44.110001,44.110001,794400
2015-07-24,43.900002,44.669998,43.529999,43.880001,43.880001,911800
2015-07-27,43.610001,43.610001,42.250000,42.400002,42.400002,1182100
2015-07-28,42.500000,43.900002,41.939999,43.650002,43.650002,939800
2015-07-29,43.689999,44.590000,43.389999,44.200001,44.200001,798100
2015-07-30,43.840000,44.250000,43.349998,43.540001,43.540001,596700
2015-07-31,43.770000,44.000000,43.209999,43.349998,43.349998,595800
2015-08-03,43.250000,44.570000,43.250000,44.419998,44.419998,1340000
2015-08-04,44.450001,44.869999,43.529999,43.689999,43.689999,724600
2015-08-05,43.919998,45.070000,43.880001,44.380001,44.380001,1720000
2015-08-06,46.750000,47.200001,39.939999,42.320000,42.320000,6073700
2015-08-07,42.070000,42.180000,39.980000,40.680000,40.680000,2670000
2015-08-10,40.849998,41.470001,38.700001,39.779999,39.779999,3237700
2015-08-11,39.080002,39.689999,37.230000,37.700001,37.700001,2541500
2015-08-12,37.490002,38.910000,36.639999,38.570000,38.570000,2052800
2015-08-13,38.849998,39.750000,37.970001,38.180000,38.180000,1418800
2015-08-14,37.939999,39.500000,37.820000,39.299999,39.299999,1135700
2015-08-17,38.840000,40.110001,38.389999,40.060001,40.060001,1496500
2015-08-18,39.639999,41.279999,39.259998,40.910000,40.910000,2485300
2015-08-19,40.590000,40.720001,40.000000,40.000000,40.000000,1646900
2015-08-20,39.540001,39.669998,36.930000,37.119999,37.119999,2720400
2015-08-21,36.509998,36.509998,34.650002,35.009998,35.009998,3397200
2015-08-24,32.060001,34.150002,31.150000,34.150002,34.150002,4034000
2015-08-25,35.459999,35.619999,34.279999,34.400002,34.400002,2531600
2015-08-26,35.330002,35.360001,33.380001,34.860001,34.860001,1799000
2015-08-27,35.450001,36.029999,34.889999,35.669998,35.669998,1162600
2015-08-28,35.619999,36.119999,35.049999,35.770000,35.770000,970600
2015-08-31,35.410000,35.650002,34.990002,35.099998,35.099998,759600
2015-09-01,34.380001,35.290001,33.599998,33.779999,33.779999,1809200
2015-09-02,34.270000,34.369999,33.500000,34.259998,34.259998,1250800
2015-09-03,34.540001,35.509998,34.070000,34.459999,34.459999,1419200
2015-09-04,34.049999,34.430000,33.380001,33.849998,33.849998,1202100
